"filename", "language", "C", "HTML", "C++", "ARM", "Makefile", "Log", "comment", "blank", "total"
"m:\test\elNET\src\el_ipv4.c", "C", -525, 0, 0, 0, 0, 0, -123, -117, -765
"m:\test\elNET\src\el_ipv6.c", "C", 0, 0, 0, 0, 0, 0, 0, -1, -1
"m:\test\elNET\src\el_mempool.c", "C", -126, 0, 0, 0, 0, 0, -46, -41, -213
"m:\test\elNET\src\el_nbuf.c", "C", -608, 0, 0, 0, 0, 0, -126, -134, -868
"m:\test\elNET\src\el_netif.c", "C", -301, 0, 0, 0, 0, 0, -106, -65, -472
"m:\test\elNET\src\el_smlist.h", "C", -45, 0, 0, 0, 0, 0, -30, -11, -86
"m:\test\elNET\src\el_tcp.c", "C", -212, 0, 0, 0, 0, 0, -80, -73, -365
"m:\test\elNET\src\el_udp.c", "C", -425, 0, 0, 0, 0, 0, -76, -47, -548
"m:\test\elNET\src\elnet.c", "C", -167, 0, 0, 0, 0, 0, -47, -31, -245
"m:\test\elNET\src\global.c", "C", -48, 0, 0, 0, 0, 0, -56, -39, -143
"m:\test\elNET\src\hash.c", "C", -378, 0, 0, 0, 0, 0, -72, -57, -507
"m:\test\elNET\src\nmem.c", "C", -306, 0, 0, 0, 0, 0, -57, -74, -437
"m:\test\elNET\src\port_alloc.c", "C", -24, 0, 0, 0, 0, 0, -1, -6, -31
"m:\test\elNET\src\queue.c", "C", -247, 0, 0, 0, 0, 0, -76, -66, -389
"m:\test\elNET\src\sock.c", "C", 0, 0, 0, 0, 0, 0, 0, -1, -1
"m:\test\elNET\src\socket.c", "C", -33, 0, 0, 0, 0, 0, -87, -34, -154
"m:\test\elNET\src\statistic.c", "C", -18, 0, 0, 0, 0, 0, 0, -6, -24
"m:\test\elNET\src\timer.c", "C", -97, 0, 0, 0, 0, 0, -45, -28, -170
"m:\test\elNET\test\main.c", "C", -45, 0, 0, 0, 0, 0, 0, -12, -57
"m:\test\elNET\test\test_socket.c", "C", -22, 0, 0, 0, 0, 0, -3, -3, -28
"m:\test\icon_play.h", "C++", 0, 0, -15628, 0, 0, 0, -7, -2, -15637
"m:\test\main.c", "C", -387, 0, 0, 0, 0, 0, -73, -79, -539
"m:\test\picture_icon.h", "C++", 0, 0, -2503, 0, 0, 0, -7, -2, -2512
"Total", "-", -7129, 6086, -26176, 410, -150, -15641, -6202, -2401, -51203
